,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
1691,EMPIRE ELECTRONICS,,,201-500,Automotive,,38944000,https://www.empireelectronics.com
1695,EMSAR,,,201-500,Medical Device,,60M,http://www.emsar.com
1697,ENABLE INJECTIONS,,,51-200,Medical Equipment Manufacturing,,50.0M,https://enableinjections.com/
1699,ENERGY STEEL,,Michigan,54,machinery,,537000000,energysteel.com
1701,ENERPAC,,,"501-1,000",Machinery Manufacturing,,200M,http://www.enerpac.com
1703,ENERPAC TOOL GROUP,,,680,Industrial Machinery Manufacturing,,589422000,enerpactoolgroup.com
1705,ENERPAC TOOL GROUP: PREVIOUSLY 'ACTUANT CORPORATION',,Wisconsin,2300,machinery,,$590M,enerpactoolgroup.com
1708,ENGAGE TECHNOLOGIES CORPORATION,,Minnesota,84,Packaging & Containers,,$32.6M,engagetechnologies.net
1714,ENGINE POWER COMPONENTS,,,201-500,Motor Vehicle Manufacturing,,40770000,http://www.engpwr.com
1725,ENHANCED INFORMATION SOLUTIONS (EIS),,Minnesota,200,machinery,,500000000,eisinc.com
1727,"ENOVAPREMIER, LLC",,Kentucky,170,Motor Vehicle Manufacturing,,72400000,enovapremier.com
1729,ENSTROM HELICOPTER,,,201-500,Aviation and Aerospace Component Manufacturing,,52.8M,http://enstromhelicopter.com
1736,ENVIRONMENTAL TECTONICS,,,201-500,Industrial Machinery Manufacturing,,47.8M,http://www.etcusa.com
1738,ENWORK,,,51-200,Furniture and Home Furnishings Manufacturing,,100000000,http://enwork.com/
1742,EOTECH,,,130,Defense and Space Manufacturing,,72000000,eotechinc.com
1747,EPIC EQUIPMENT,,,51-200,Automation Machinery Manufacturing,,39M,http://www.epicequipment.com
1751,EQUIPMENT & CONTROLS,,,201-500,Automation Machinery Manufacturing,,70M,http://www.eci.us
1753,EQUIPMENT TECHNOLOGIES,,Indiana,75,machinery,,31000000,etsprayers.com
1755,ERMCO-ECI,,,350,electrical/electronic manufacturing,,150000000,http://www.ermco-eci.com
1759,ESCALADE SPORTS,,Indiana,210,Sporting Goods Manufacturing,,222208000,escaladesports.com
1761,ESPERION,,,201-500,Pharmaceutical Manufacturing,,75.5M,http://www.esperion.com
